lat,long
19.13329482,72.87313832
19.19044268,72.93981288
19.1418803,72.84907566
19.14801747,72.91660845
19.17118614,72.85269559
19.04478217,72.93955271
19.05969688,72.93402974
19.1994609,72.93189142
19.16170295,72.97154199
19.09679414,72.92025098
19.14781747,72.85650539
19.1519138,72.88879005
19.04315854,72.94307111
19.14196934,72.84580618
19.1746749,72.84197789
19.03607241,72.87627785
19.13102988,72.94216615
19.09603848,72.94727687
19.13399008,72.88706904
19.09940314,72.89411506
19.11002344,72.92098272
19.20323195,72.915908
19.0877607,72.8178529
19.16304455,72.92896456
19.06776036,72.88357567
19.11753546,72.83057698
19.11518847,72.84404144
19.10979229,72.9592154
19.13723154,72.93281318
19.16877279,72.95276109
19.14683464,72.96249166
19.14891737,72.97715505
19.16984474,72.87884832
19.0803897,72.885219
19.14266386,72.93176046
19.19045084,72.90376295
19.15112869,72.95256985
19.1713846,72.90834913
19.14514455,72.96022352
19.18982898,72.9047961
19.05196625,72.90471431
19.06637949,72.85141567
19.10629844,72.98672536
19.14348194,72.91282358
19.07634269,72.91727256
19.07683598,72.86541689
19.09688476,72.88722379
19.10950232,72.80340966
19.12594031,72.94144825
19.16625775,72.82156859
19.1342223,72.89628359
19.19301574,72.88238167
19.19102412,72.85029281
19.20749104,72.88466412
19.04351488,72.88087285
19.14131019,72.82757754
19.09768361,72.86315661
19.15356961,72.97739001
19.11463914,72.854295
19.13939595,72.938924
19.10384669,72.87825128
19.10757105,72.96063738
19.05954902,72.82718719
19.10749712,72.90608023
19.18391739,72.85961468
19.16195302,72.97141487
19.05163968,72.86954805
19.07052638,72.92637772
19.05889614,72.84973954
19.04970308,72.89547381
19.15611882,72.85474935
19.1145998,72.84957205
19.09042834,72.89646574
19.15868078,72.93689411
19.11525961,72.89358329
19.13863371,72.84379883
19.08032284,72.91790256
19.16380199,72.81859453
19.20156844,72.86243743
19.11617679,72.93509281
19.05941757,72.9347499
19.09895096,72.95095811
19.07276337,72.82803945
19.09642566,72.85654109
19.20615663,72.90468012
19.15028997,72.87932047
19.16952968,72.88226393
19.17389314,72.93926629
19.04718039,72.84206925
19.17896868,72.88669617
19.137045,72.95233421
19.15461971,72.84394749
19.0774873,72.94759184
19.13871525,72.9135231
19.193883,72.87595227
19.04473956,72.85592471
19.12761818,72.9059032
19.16533746,72.85119212
19.16687432,72.87751975
19.10498334,72.89302425
